text,published,source,sentiment
Bagus si bagus nnty saat2 berkembng & pelan2 naik level eh tiba2 tngh jln d cut bgtu saja . Kn aneh 🤦‍♂️🤦‍♂️🤦‍♂️,2025-12-20T16:09:45Z,Youtube,Negative
Semoga persebolaan ina semakin maju dan baik2 saja,2025-12-20T11:07:50Z,Youtube,Positive
"Hati2 coach ,lengah dikit kena grudukan netizen indonesia😂😂😂",2025-12-21T05:54:35Z,Youtube,Negative
Pelatih yang lebih mentereng dan bisa buat Timnas Indonesia lebih maju ke kancah internasional hanya GVB yang bisa buat itu ❤😮😂😢😅😊,2025-12-20T12:38:12Z,Youtube,Negative
Mang Herman kamu bisa🎉,2025-12-20T09:40:31Z,Youtube,Positive
Haros hebat2 timnya hadapi lawan dunia,2025-12-21T10:12:18Z,Youtube,Neutral
Siapkan mental anda bos😂😂,2025-12-20T12:06:58Z,Youtube,Negative
👍,2025-12-20T13:15:10Z,Youtube,Positive
JOHN HERDMAN TIMNAS SENIOR DAN STY UNTUK U23 INI HEBAT.,2025-12-21T01:26:43Z,Youtube,Positive
😢😮,2025-12-21T04:38:43Z,Youtube,Negative
Pelatih kelas dunia federasi kelas tarksm,2025-12-20T13:00:53Z,Youtube,Negative
"Mmmmmhh😢😢😢😢😢
 Lambat ah...",2025-12-21T09:59:18Z,Youtube,Negative
"Menurut data yg di olah berdasarkan angka kelahiran dan karakter personal , Coach JH ini punya karakter yg kuat ( target oriented ) dan terkadang eksplosif dalam berekpresi ini mempengaruhi gaya melatih dan komunikasi..dan mungkin hal ini belum siap diterima di kultur sepakbola Indonesia ,hal ini bisa berakibat pada berkurang atau bahkan hilangnya dukungan dari pemain , Federasi atau pihak pihak yg dulu nya mendukung",2025-12-21T11:24:34Z,Youtube,Neutral
Ini pasti pelatih cobak cobak 😂😂,2025-12-21T10:46:25Z,Youtube,Negative
Asal jangan kaya sapri taktiknya disimpan muluh akhirnya hilang de,2025-12-21T11:20:02Z,Youtube,Negative
_Lagi2 PSSI lebih pilih beli kucing dlm karung daripada pilih yg pasti_,2025-12-21T03:19:37Z,Youtube,Neutral
Emang GAmpangMenang MainDiPuLau7 7 7....,2025-12-20T03:26:47Z,Youtube,Neutral
Mau populer mimpi ketum sombong angkuh,2025-12-20T01:08:55Z,Youtube,Negative
nanti di suruh koordinasi sama pelatih lokal ujung2 nya Indra Sjafri di panggil lagi😂😂😂,2025-12-20T15:22:20Z,Youtube,Negative
Santai-santai tapi tetap jalanin 𝗣𝗨𝗟𝗔𝗨𝟳𝟳𝟳,2025-12-20T09:05:00Z,Youtube,Positive
autofokus main di PU L AU 7 7 7..... keren.....👍👍👍❤❤❤,2025-12-20T03:28:14Z,Youtube,Positive
pulau777memang mantapDahhh,2025-12-20T03:28:18Z,Youtube,Positive
"Kasihan beliau, melatih tim sepakbola nasional yang federasinya aja mawutt",2025-12-20T23:00:19Z,Youtube,Neutral
"PSSI mkin jlas egois,",2025-12-20T16:06:17Z,Youtube,Neutral
"Siap"" saja di pecat ...gonta ganti pelatih sampai uang PSSI .habis...",2025-12-20T14:18:12Z,Youtube,Negative
"AKAN DI INTERVENSI SAMA ERICK DAN ANTEK2 NYA,LIAT AJA😂",2025-12-20T14:32:56Z,Youtube,Neutral
"Bagusan sty dr berbagai pertimbangan... Slma erik tohir yg pimpin pssi, mimpi sj kita bs ke pildun",2025-12-21T10:25:19Z,Youtube,Negative
Bkn pelatih yg hrs di tuntut tp lederasi pssi apa mao memajukan sepak bola tanla ada cor politik itu jawaban nya,2025-12-21T02:26:34Z,Youtube,Neutral
"Yg paling cocok itu.. coach indra Sapri, Fahri Husaini,bima sakti. Karena mereka sudah paham seluk beluk dan kemauan PSSI seperti apa.... Gajinya juga murah",2025-12-21T01:09:54Z,Youtube,Neutral
STY kembalikan,2025-12-21T10:45:32Z,Youtube,Negative
Blm resmi juga uda di goreng aja beritanya,2025-12-20T13:54:22Z,Youtube,Neutral
Lebayyyyyy,2025-12-20T16:35:46Z,Youtube,Negative
Kok Ndak si towel saja buat JD pelatih timnas.. si towel kn platih hebat 😅😅😅,2025-12-21T06:18:46Z,Youtube,Negative
Gk ada kemajuan tiru jepang dan korea pelatih y 15 th atau 10 th untuk melatih diberi ke bebas an jngn federasi atur.,2025-12-20T10:38:03Z,Youtube,Neutral
"Di sarankan beliau jgn ada akun sosmed, nanti bisa gila atau minimal strok. Fans dsni tau sendiri beringas2 semua klo timnas nya bapuk 😅",2025-12-21T05:54:47Z,Youtube,Neutral
"ketika STY mengaduk semen dg pasir & batu,sketika itulah politik di ruang pssi mencampurkan lumpur..akhirny pondasi tidak terbangun dg kuat.😅",2025-12-21T04:52:39Z,Youtube,Neutral
"Susah2 nyari pelatih,, towel aja",2025-12-21T05:37:28Z,Youtube,Negative
Kembalikan indrasyafri ke timnas senior 🤣💪💪,2025-12-20T17:10:05Z,Youtube,Negative
"Plis lah sepak bola Indonesia itu udah toxic dari atas sampai bawah, kalau mau berkembang rombak dari atas mulai dari anggota Federasi",2025-12-21T07:12:32Z,Youtube,Neutral
pelatih katro,2025-12-21T07:44:29Z,Youtube,Negative
Siap siap CV nya hancur 😂😂,2025-12-20T13:47:47Z,Youtube,Negative
blunder ET 2,2025-12-21T00:23:38Z,Youtube,Negative
"Mantap,,, Mang Herman,,,, ayolah latih Timnas Konoha",2025-12-20T07:27:51Z,Youtube,Positive
bbrp bulan kah dia bertahan😂,2025-12-20T13:43:19Z,Youtube,Negative
"palingan ujung nya ada pemain titipan , wajib lokal preet, lokal kalau bagus sih gpp lah ini lokal yg gak bsa passing msh aja di masukin squad",2025-12-20T07:52:08Z,Youtube,Negative
ERICK ERICK,2025-12-20T19:24:30Z,Youtube,Neutral
Pelatih Sehebat Apapun Kalau Bola Du Campur Politik dan Judu/Nafis ya Rusak Kita Tunggu Boks untuk boks Dan Harga diri Nkri,2025-12-21T10:11:38Z,Youtube,Neutral
Sama aja,2025-12-20T15:53:28Z,Youtube,Neutral
Siapapun pelatih nya kalau pssi tidak bersih dari mafia ya percuma sama aja😅,2025-12-21T09:21:59Z,Youtube,Neutral
Jangan terlalu berlebihan dulu.pembuktiannya nanti tunggu piala aff dan piala asia.2026/2027,2025-12-20T08:24:16Z,Youtube,Neutral
Zainudin amali wong tidak tau bola juga ngapain ngatur federasi sepakbola....anda lucu pak,2025-12-20T13:55:55Z,Youtube,Neutral
"Jangan berharap masuk pildun, udh depan pintu aja muter balik 😂",2025-12-20T16:42:22Z,Youtube,Negative
Siap2 di caci netizen 😅,2025-12-21T07:19:00Z,Youtube,Negative
Aku tak dukung towel jd pelatih biar mafia😅,2025-12-20T10:33:31Z,Youtube,Negative
"Ntr juga d pecat lg pssi,jngn mau",2025-12-21T11:35:20Z,Youtube,Negative
AYO DUKUNG JOHN HERDMAN..!!!,2025-12-20T09:14:49Z,Youtube,Positive
"Benerin tuh liga regional biar lebih kompetitif lagi, gak masalah kalo pun mengandalkan pemain naturalisasi, akan tetapi yg jadi pertanyaan mau sampai kapan.?",2025-12-20T06:54:09Z,Youtube,Neutral
Jhon ati2 nukangi timnas indo ujung2 nya melempem kaya PK abis lho di hujan netizen,2025-12-21T08:49:30Z,Youtube,Negative
Bntr lg jg d pecatttt😅,2025-12-20T22:06:20Z,Youtube,Negative
Kelihatannya JOHN keras dan disiplin .!!!,2025-12-20T09:16:39Z,Youtube,Positive
Yang penting STY jangan kembali,2025-12-20T09:17:24Z,Youtube,Neutral
Sty baiik,2025-12-20T15:20:05Z,Youtube,Neutral
Apanya pak herman ni,2025-12-20T10:05:07Z,Youtube,Neutral
Pelatih hebat juga KLO politik nya ikut campur percuma😅😅,2025-12-20T10:06:18Z,Youtube,Negative
Emangnya udah deal?,2025-12-20T08:44:01Z,Youtube,Neutral
"Pelatih jangka panjang, fans timnas sama pundit timnas opo gelem? Senengane proses instan😅😅😅",2025-12-20T09:30:58Z,Youtube,Neutral
TIDAK BISA DIPERCAYA DAN TIDAK KAGUM dengan PSSI DAN EXCO !!! 😅😂😅😂😅,2025-12-20T19:33:34Z,Youtube,Neutral
"Kita lihat saja nanti yg katanya pelatih pendobrak kutukan, semoga nggak nyungsep.Jangan dikatakan mirip STY, nanti begitu dia nyungsep anda salahkan STY.",2025-12-20T08:57:28Z,Youtube,Neutral
JHON IQ7,2025-12-20T08:46:34Z,Youtube,Negative
lagu lama 🙃,2025-12-20T09:14:25Z,Youtube,Neutral
Pling 2th di pcat lgi..,2025-12-20T11:01:47Z,Youtube,Negative
Klu ini gagal udh wes males nonton LG kecuali STY blik,2025-12-20T10:24:23Z,Youtube,Negative
"Itulah sepak bola jh hsrus terbiasa dengan kritikan yng pedas nantinya tujuannya agar timnas senior bisa kuat lincah dan bisa bersaing di dunis internasianal nantinya,demi kemajuan per sepak bolaan di indonesia...❤❤❤❤😂😂😂😂🎉🎉🎉",2025-12-21T03:20:29Z,Youtube,Positive
Welkam bang herman,2025-12-20T08:29:34Z,Youtube,Positive
"Sehebat apapun pelatihnya..kalau bahan"" nya tidak berkuwalitas jangan pernah berharap punya tim yg bagus..",2025-12-21T11:19:12Z,Youtube,Neutral
Sehebat apapun pelatih..kalau pssi selalu campurtsngan untuk mwnitipkam pemai,2025-12-20T19:29:25Z,Youtube,Neutral
Pelatih timnas wajib tinggal di indo..tahan trhdp bully& cacian di kala timnya kalah...apalagi pundit2 di indo yg terkenal sok paling tahu tentang sepak bola,2025-12-20T07:18:45Z,Youtube,Neutral
Siapapun pelatihnya kita tunggu aja kejutan kejutan berikut nya dari timnas Indonesia jogo bonito melanesiano,2025-12-20T09:41:00Z,Youtube,Positive
Salah satu pekerjaan berbahaya di dunia adalah melatih timnas indonesia,2025-12-20T23:29:10Z,Youtube,Negative
rindu timnas,2025-12-21T08:56:32Z,Youtube,Neutral
"Mr. Herman sudah didepan pintu Ring of Fire ""Cincin Api"" 😅😅",2025-12-21T03:19:14Z,Youtube,Negative
Semoga timnas membaik lagi,2025-12-20T06:51:00Z,Youtube,Positive
siapapun pelatihnya klo pssi tidak di bersihkan dari mafia,2025-12-20T11:28:09Z,Youtube,Neutral
Selama PSSI selalu ikut campur dan tidak menghargai jalan proses mustahil bola kita maju... sekalipun Guardiola bahkan Mourinho sekalipun pelatihnya....,2025-12-21T04:22:29Z,Youtube,Neutral
Percuma semua sudah telat,2025-12-21T06:51:38Z,Youtube,Negative
"Itu yg di pembukaan, pemain timnas paling kanan siapa ya min?",2025-12-20T08:37:36Z,Youtube,Neutral
Knpa GK dr dlu Rik Erik Mlah milih dewa judi jdi platih😂,2025-12-20T15:25:32Z,Youtube,Negative
Sebenr nya siapa si penggati nya pelatih ada yg bilang A ad yg bilang B hem,2025-12-20T12:56:36Z,Youtube,Neutral
Itu canada,2025-12-20T15:02:52Z,Youtube,Neutral
Ah paling-paling kadindatnya pelatih timnas si towel kalau g di justin,2025-12-20T11:46:52Z,Youtube,Neutral
Kalau mencari pelatih dari bekas bek ataupun gelandang.,2025-12-20T07:16:56Z,Youtube,Neutral
walawe🗿 kasian,2025-12-21T07:43:34Z,Youtube,Negative
yang terpenting iti sebenarnya banyakin turnamen sepakbola antar sma agar menjaring bibit muda yang bagus,2025-12-21T08:18:34Z,Youtube,Neutral
Good luck Mr John,2025-12-20T12:07:40Z,Youtube,Positive
"Terkesan terlalu gembar gembor sebelum deal dan bekerja ,",2025-12-20T10:11:44Z,Youtube,Negative
Are you Ready Captain JOHN,2025-12-21T06:42:54Z,Youtube,Neutral
Beri waktu minimal 4 tahun..,2025-12-20T14:43:18Z,Youtube,Positive
"Semoga coach Jhon bsa membawa kembali timnas bergairah lg,, sya yakin coach Jhon bsa bwa timnas bangkit dr era kegelapan ,, asal d beri kebebasan tnpa intervensi dr federasi",2025-12-21T06:04:27Z,Youtube,Positive
Siap2 di kritik towel dkk 😅,2025-12-21T05:29:34Z,Youtube,Neutral
Pertama kasih jempol dan komen,2025-12-20T06:34:56Z,Youtube,Positive
ET blm out ya bang?,2025-12-20T22:32:35Z,Youtube,Negative
Good luck🙏🙏🙏,2025-12-21T00:58:01Z,Youtube,Positive
"Hadeh males dah liat timnas skrng,ku rindu masa2 sty gesy",2025-12-20T13:46:27Z,Youtube,Negative
Tieri ongri,2025-12-20T12:33:22Z,Youtube,Neutral
"Perbaiki pembinaan usia muda dan perbaiki liga, supaya tercipta pemain yg di inginkan pelatih Timnas, menjalankan strateginya ""semoga sepak kita akan melangkah lebih baik🤲",2025-12-21T01:37:56Z,Youtube,Positive
Jhon Herman masih meragukan untuk pelatih timnas indonesia.,2025-12-20T14:21:19Z,Youtube,Negative
Dia mencoba menaklukan pekerjaan yang sangat berbahaya dan beresiko tinggi 😂,2025-12-21T03:24:58Z,Youtube,Neutral
Yang penting jgn alergi naturalisasi dan jauhi Mafia🙏🙏🙏🙏🙏🙏🙏🙏🙏,2025-12-21T00:58:31Z,Youtube,Neutral
"PSSI mungkin bisa bersabar beberapa tahun tapi netijen itu yang selalu mau nya instan,, menang di sanjung kalah di hujat.
 Itu lah knapa sepak bola Indonesia tidak maju maju,, selain kepengurusan tidak becus netijen nya juga yang Toxsic.",2025-12-20T14:30:55Z,Youtube,Neutral
Kalau beritanya di buat heboh biasanya akan seperti pelatih kemarin.,2025-12-21T06:58:43Z,Youtube,Negative
Siapa pun pelatih yng pnting di beri kebebasan dan jangan cepet di pecat meski kalah dlam satu kompotisi.. Klo sering ganti2 gmana mau harmonis pemain timnasnya.,2025-12-21T05:23:24Z,Youtube,Neutral
Kebiasaan me muja2 di awal....,2025-12-20T13:05:06Z,Youtube,Negative
"Semoga ini pilihan yg tepat. Saya pribadi melihatnya dari cara betmain bolanya. Taktis. Pola yg jelas. Nggak mesti main menyerang terus tapi bida juga maim bertahan dgn counter attack cepat. Padsing bagus. Pergerakan pemain benar...kalau Tropy itu mah saya nggak terlalu pikirkan. Karena kalau timnas sudah bisa bwrmain solit dan bagus... Masalah Tropy itu mah tinggal tunggu waktu..
 Dan ET harus gantle utk undur diri kalau seandainya tdk membaik. Biarkan Ketum baru yg pimpin agar STY di recrut lagi.❤",2025-12-20T09:12:47Z,Youtube,Positive
"Jdi itu menjadi lega dan puas untuk pak ET tapi kami, belum puas... Karna semacam beli kucing dalm karung..",2025-12-20T15:21:10Z,Youtube,Negative
Yg Ter atas.,2025-12-20T00:54:50Z,Youtube,Neutral
Rasanya masih gak percaya bisa dapet hasil segede ini dari PU LA U777 ❤,2025-12-20T03:26:14Z,Youtube,Positive
"Pelatih baru jadi korban PSSI 
 Dgn org rakus jabatan .",2025-12-20T04:05:08Z,Youtube,Negative
Kuat jhon menghadapi kritik mavia tetor di indonesia di indonesia banyak teror dr dalam dari mavia mavia kuat kah dia menjalani nya sepwryi sty,2025-12-20T14:25:15Z,Youtube,Neutral
Jawabannya itu sty tidak ada lagi pokoknya sty hrs JD pelatih timnas Indonesia,2025-12-20T04:50:48Z,Youtube,Negative
Erik keras kepala dan ego mau menang sendiri tak mau mundur pederasi dibawa ranah politik hancur pssi,2025-12-20T09:44:34Z,Youtube,Negative
"HIDUP itu INDAH,JIKA ⚡⚡petir 500x Pecahh💢.. PU L AU 7 7 7solusinya",2025-12-20T03:28:12Z,Youtube,Neutral
P U LA U 7 7 7 tuh tempat lo buktiin kemampuan,2025-12-20T09:05:06Z,Youtube,Neutral
Pak erik.. Masih maksa masukin pelatih Eropa. Kluivert edisi 2 ini.. Sama saja arah permainan timnas pasti ga jelas. Beda sentuhan STY. Bisa dibuktikan. Kami cinta timnas. Kenapa suara rakyat tdk didengerin PSSI,2025-12-20T13:22:35Z,Youtube,Negative
ERICK ERICK LEBIH BAIK KEMBALIKAN STY. TIMNAS KITA YANG KASEHAN PAKAI PELATIH LAIN,2025-12-20T08:45:31Z,Youtube,Negative
Hati hati hedman kalo gagal siap siap aj sorak sty😂😂😂,2025-12-21T07:45:40Z,Youtube,Negative
BandarPulau777 tegang gua menang 🥴🔥ternyata gampang,2025-12-20T03:26:46Z,Youtube,Neutral
"Sy hobi bola,,,tp menurut sy pungsi pelatih itu adlh 20%,,pungsi pemain 80%,,,JD sekalian pun pelatih timnas itu adlh pelatih langganan juara piala dunia,,kalau pemain tak propesional itu semua percuma",2025-12-20T16:35:22Z,Youtube,Neutral
Pak ET lebih baik anda mundur saja kami sudah tidak mau lagi anda pegang PSSI kami butuh ketum yang punya prinsip dan pemberani TDK menutupi masalah yg ada dalam tubuh tim maupun di luar tim,2025-12-20T03:23:30Z,Youtube,Negative
Sdh malas nonton timnas bye,2025-12-20T22:14:50Z,Youtube,Negative
Judol 777😂😂,2025-12-21T07:38:41Z,Youtube,Neutral
"Pengesahanya nunggu saat Natal ni....
 Bisa aja Fans timnasvakan kosongkan stadion jika ET tetap memimpin PSSI...",2025-12-20T08:44:47Z,Youtube,Negative
STY kembalikan,2025-12-21T10:47:28Z,Youtube,Negative
"Makin sering buka HP, makin seru kalo bareng 𝗣𝗨𝗟𝗔𝗨𝟳𝟳𝟳",2025-12-20T09:04:58Z,Youtube,Neutral
Semoga sehat selalu ya bang agar bisa terus memberikan pola-pola terbaru setiap harinya salamPulau 777,2025-12-20T03:27:30Z,Youtube,Neutral
🎉 Setiap detik penuh keseruan di🄿🅄🄻🄰🅄777!,2025-12-20T03:25:12Z,Youtube,Neutral
Keren banget pulau777saluttt,2025-12-20T03:28:25Z,Youtube,Neutral
